District,Month,Rainfall (mm),Temperature (°C),Humidity (%),Year
Mahabubnagar,June,116.74,21.3,51.0,2017
Adilabad,July,190.73,22.6,71.0,2015
Nagarkurnool,July,191.69,31.8,96.0,2021
Khammam,March,14.12,31.0,84.0,2022
Wanaparthy,July,192.83,24.6,96.0,2017
Sangareddy,June,119.04,17.1,95.0,2021
Jagtial,October,91.85,41.3,30.0,2024
Kumurambheem Asifabad,November,19.4,29.1,61.0,2016
Sangareddy,August,190.42,37.3,91.0,2017
Rangareddy,October,90.9,41.3,34.0,2018
Peddapalli,November,17.92,34.8,63.0,2015
Karimnagar,January,9.15,32.0,91.0,2024
Mahabubnagar,November,20.42,44.6,34.0,2021
Nizamabad,November,18.97,24.4,92.0,2020
Mancherial,October,92.87,36.4,87.0,2019
Vikarabad,May,29.08,35.9,85.0,2025
Hyderabad,August,190.05,22.3,34.0,2025
Nirmal,February,5.69,27.5,54.0,2025
Wanaparthy,August,188.21,35.0,30.0,2023
Sangareddy,February,1.99,32.8,70.0,2016
Mancherial,March,13.76,38.4,93.0,2025
Rajanna Sircilla,May,30.29,23.3,28.0,2020
Siddipet,July,189.35,18.3,76.0,2019
Adilabad,May,30.79,43.2,35.0,2019
Jagtial,May,29.51,15.2,33.0,2019
Sangareddy,November,17.09,36.9,34.0,2023
Wanaparthy,November,18.27,41.6,56.0,2015
Adilabad,February,8.72,17.0,66.0,2019
Mahabubabad,July,192.37,19.5,27.0,2024
Nizamabad,January,8.53,21.0,29.0,2024
Jogulamba Gadwal,October,94.33,34.3,98.0,2023
Sangareddy,May,30.61,29.3,75.0,2023
Peddapalli,May,30.2,25.8,83.0,2019
Hyderabad,July,190.27,34.6,28.0,2016
Kamareddy,October,90.47,21.2,31.0,2015
Mahabubabad,April,19.39,38.0,26.0,2022
Nizamabad,June,119.59,34.3,94.0,2015
Mancherial,April,14.71,39.2,70.0,2024
Hanamkonda,January,11.48,36.5,80.0,2023
Kumurambheem Asifabad,April,14.59,44.1,41.0,2016
Khammam,March,14.39,40.1,48.0,2023
Karimnagar,March,14.87,29.9,20.0,2018
Mancherial,January,6.49,36.3,91.0,2016
Siddipet,July,190.25,42.4,96.0,2020
Yadadri Bhuvanagiri,April,16.94,27.9,91.0,2022
Jagtial,April,18.94,44.5,83.0,2022
Peddapalli,December,5.23,26.9,98.0,2024
Rajanna Sircilla,July,191.77,28.2,100.0,2022
Yadadri Bhuvanagiri,May,31.67,31.3,48.0,2017
Medak,October,90.81,39.0,74.0,2021
Peddapalli,May,29.59,38.9,64.0,2024
Hyderabad,April,17.21,26.2,71.0,2015
Kamareddy,March,11.48,28.7,45.0,2015
Sangareddy,February,6.07,34.7,53.0,2020
Mulugu,November,15.66,35.4,89.0,2017
Medak,September,135.48,33.5,83.0,2019
Mulugu,April,18.77,30.1,94.0,2019
Karimnagar,October,94.48,19.3,30.0,2018
Nagarkurnool,July,194.77,23.7,31.0,2016
Rangareddy,March,15.18,29.2,91.0,2025
Karimnagar,December,7.2,19.2,38.0,2016
Khammam,June,119.68,21.4,76.0,2020
Adilabad,December,9.44,26.9,85.0,2025
Medak,August,189.84,41.4,67.0,2023
Karimnagar,November,16.4,42.6,25.0,2022
Adilabad,February,6.57,45.0,37.0,2025
Wanaparthy,May,30.89,37.4,44.0,2022
Hanamkonda,June,119.83,24.6,77.0,2020
Mancherial,September,139.02,32.7,64.0,2024
Jagtial,June,119.27,33.5,24.0,2015
Nirmal,July,188.33,41.6,75.0,2019
Vikarabad,April,17.95,15.8,66.0,2020
Adilabad,December,6.78,20.5,93.0,2017
Khammam,December,7.64,22.0,44.0,2025
Wanaparthy,July,188.32,16.1,90.0,2015
Karimnagar,July,191.49,32.2,32.0,2022
Rangareddy,April,18.08,32.1,21.0,2022
Nirmal,November,18.19,40.3,80.0,2015
Medak,June,122.09,43.1,84.0,2017
Mahabubabad,August,189.41,40.1,31.0,2023
Nagarkurnool,November,16.57,43.9,76.0,2023
Kamareddy,April,16.73,42.7,90.0,2016
Hyderabad,March,13.02,20.9,41.0,2018
Jogulamba Gadwal,June,121.24,20.6,27.0,2024
Peddapalli,April,20.24,21.9,74.0,2025
Kamareddy,July,193.31,42.4,24.0,2022
Medak,May,30.93,29.3,93.0,2018
Kamareddy,August,190.24,25.7,67.0,2018
Mahabubabad,December,4.56,17.7,37.0,2016
Kamareddy,August,191.44,20.8,54.0,2019
Khammam,June,118.28,36.9,88.0,2022
Siddipet,November,14.81,24.7,34.0,2015
Mahabubnagar,December,4.32,21.6,66.0,2020
Sangareddy,March,15.39,42.3,39.0,2023
Nagarkurnool,May,30.25,21.9,60.0,2017
Sangareddy,January,9.28,34.3,54.0,2021
Khammam,June,117.09,38.7,78.0,2025
Nizamabad,October,92.43,15.2,78.0,2019
Mahabubabad,January,7.86,28.4,47.0,2016
Wanaparthy,June,117.47,40.8,24.0,2015
Mulugu,October,92.09,36.3,41.0,2018
Khammam,December,9.97,26.9,59.0,2018
Khammam,May,30.87,19.1,85.0,2019
Vikarabad,October,88.83,37.0,91.0,2018
Karimnagar,August,191.63,38.5,41.0,2020
Khammam,August,188.71,15.7,32.0,2023
Adilabad,September,137.44,24.3,62.0,2025
Medak,March,12.66,23.1,91.0,2023
Hyderabad,October,87.06,34.1,65.0,2016
Jogulamba Gadwal,September,138.47,15.8,93.0,2024
Rajanna Sircilla,April,15.8,31.5,61.0,2018
Jagtial,August,191.03,27.0,84.0,2025
Sangareddy,March,13.12,36.4,63.0,2024
Sangareddy,September,138.08,30.5,58.0,2015
Siddipet,February,4.29,32.6,90.0,2017
Adilabad,October,94.32,31.1,48.0,2019
Nalgonda,March,12.35,37.5,30.0,2015
Kumurambheem Asifabad,June,118.79,26.8,79.0,2015
Nagarkurnool,September,136.61,41.1,52.0,2022
Siddipet,August,189.17,41.0,46.0,2018
Mancherial,November,21.62,26.6,20.0,2022
Khammam,February,3.84,23.7,100.0,2020
Mahabubnagar,November,16.17,17.3,80.0,2017
Wanaparthy,January,6.78,44.1,69.0,2021
Mahabubabad,April,15.92,24.3,92.0,2017
Adilabad,October,94.83,15.7,20.0,2025
Nalgonda,March,11.45,27.3,37.0,2022
Nirmal,October,93.11,33.2,53.0,2018
Mancherial,July,193.21,19.1,31.0,2016
Vikarabad,January,7.82,22.8,32.0,2015
Khammam,January,8.9,35.0,81.0,2015
Siddipet,June,121.7,20.7,54.0,2018
Siddipet,April,20.11,34.5,29.0,2022
Yadadri Bhuvanagiri,October,93.84,23.6,30.0,2015
Nalgonda,January,7.98,34.0,82.0,2023
Jagtial,March,15.61,33.0,93.0,2023
Medak,February,6.77,16.1,48.0,2023
Kamareddy,July,192.32,15.3,33.0,2019
Vikarabad,April,19.16,34.9,51.0,2015
Khammam,July,191.5,43.4,83.0,2022
Peddapalli,June,120.75,22.6,54.0,2025
Mahabubabad,November,14.89,26.5,24.0,2015
Hanamkonda,June,122.7,34.2,29.0,2015
Nagarkurnool,January,5.58,27.6,81.0,2015
Nalgonda,September,138.1,19.6,75.0,2024
Nirmal,November,16.0,38.1,76.0,2022
Kumurambheem Asifabad,March,14.3,27.9,67.0,2017
Medak,January,9.89,18.7,62.0,2024
Karimnagar,December,7.86,19.2,62.0,2018
Hyderabad,February,8.48,41.5,50.0,2019
Nalgonda,July,195.95,24.6,55.0,2017
Mulugu,July,189.22,43.1,26.0,2018
Mahabubnagar,December,4.46,27.9,48.0,2020
Suryapet,September,133.42,17.0,56.0,2025
Karimnagar,April,17.31,38.7,67.0,2024
Hyderabad,October,92.64,16.0,78.0,2016
Rangareddy,January,9.16,16.2,64.0,2020
Nalgonda,November,17.91,15.8,25.0,2025
Wanaparthy,February,5.24,32.3,98.0,2021
Nirmal,October,92.72,34.2,35.0,2021
Rajanna Sircilla,October,92.34,29.8,93.0,2017
Mulugu,April,17.77,21.1,60.0,2024
Nagarkurnool,April,19.81,18.4,28.0,2017
Peddapalli,November,16.91,30.8,62.0,2016
Khammam,March,12.67,19.5,38.0,2016
Yadadri Bhuvanagiri,November,16.65,36.7,71.0,2015
Medak,January,7.41,34.2,58.0,2024
Nirmal,August,190.0,32.6,38.0,2019
Mahabubnagar,July,193.51,24.1,26.0,2019
Kamareddy,October,89.59,29.6,93.0,2019
Yadadri Bhuvanagiri,January,9.15,17.7,55.0,2023
Rajanna Sircilla,August,186.02,22.8,47.0,2022
Kamareddy,October,90.38,15.2,20.0,2022
Nagarkurnool,March,10.47,16.6,51.0,2016
Kumurambheem Asifabad,September,138.54,24.3,63.0,2017
Karimnagar,April,17.99,18.7,88.0,2020
Mancherial,July,190.07,17.5,45.0,2021
Rangareddy,January,9.13,41.2,92.0,2016
Mulugu,December,4.8,26.8,95.0,2015
Peddapalli,August,192.76,18.9,55.0,2017
Nizamabad,November,17.6,26.9,62.0,2024
Medak,December,2.92,40.7,46.0,2020
Rangareddy,August,189.09,21.5,58.0,2019
Karimnagar,November,21.45,27.1,94.0,2022
Wanaparthy,May,28.39,39.6,69.0,2021
Rajanna Sircilla,April,15.35,41.2,44.0,2024
Jagtial,February,6.37,31.8,69.0,2017
Kamareddy,December,7.46,27.7,62.0,2024
Kumurambheem Asifabad,October,88.93,17.7,82.0,2019
Wanaparthy,September,139.19,30.1,44.0,2023
Hyderabad,June,115.74,21.7,22.0,2018
Jogulamba Gadwal,June,116.09,35.9,90.0,2015
Hanamkonda,September,140.15,37.1,38.0,2020
Nagarkurnool,August,192.56,40.4,24.0,2015
Vikarabad,April,14.7,20.8,79.0,2019
Nirmal,December,6.35,37.6,68.0,2017
Siddipet,February,4.64,29.0,67.0,2023
Khammam,June,118.85,28.8,42.0,2019
Hanamkonda,May,30.84,29.5,49.0,2022
Nagarkurnool,March,13.93,29.1,41.0,2016
Hanamkonda,July,192.85,24.0,68.0,2019
Vikarabad,August,190.41,24.0,86.0,2020
Nalgonda,December,3.34,42.2,90.0,2022
Hyderabad,July,188.35,22.1,39.0,2025
Nirmal,December,2.9,20.2,76.0,2015
Kamareddy,February,5.25,43.8,54.0,2025
Wanaparthy,April,19.38,35.0,57.0,2020
Rajanna Sircilla,February,7.8,26.1,46.0,2019
Nirmal,January,7.69,28.2,45.0,2016
Mahabubabad,July,191.95,29.6,98.0,2019
Medak,October,91.13,33.8,25.0,2019
Suryapet,August,190.11,23.2,70.0,2017
Hyderabad,October,92.22,16.0,45.0,2024
Siddipet,April,16.56,44.7,89.0,2018
Nizamabad,February,7.64,15.2,72.0,2020
Mahabubnagar,January,7.41,37.7,69.0,2015
Siddipet,February,9.21,29.2,72.0,2023
Khammam,March,13.43,31.2,75.0,2018
Jagtial,December,7.16,18.8,44.0,2018
Sangareddy,July,191.63,44.1,84.0,2019
Sangareddy,November,17.7,18.1,74.0,2019
Kamareddy,July,194.37,21.7,69.0,2024
Wanaparthy,September,134.93,21.9,46.0,2022
Sangareddy,June,116.41,31.6,58.0,2021
Rajanna Sircilla,January,9.89,34.5,87.0,2021
Mahabubabad,May,31.5,17.0,67.0,2017
Nalgonda,April,19.29,20.1,43.0,2023
Mancherial,May,33.33,21.8,47.0,2025
Jagtial,May,32.36,27.7,59.0,2023
Mulugu,March,8.81,37.1,80.0,2023
Mancherial,June,120.91,32.2,75.0,2018
Kumurambheem Asifabad,January,9.6,30.2,87.0,2022
Kumurambheem Asifabad,June,118.43,33.1,52.0,2019
Peddapalli,February,7.34,33.5,50.0,2023
Mulugu,January,12.44,23.8,84.0,2017
Nagarkurnool,March,14.24,35.5,25.0,2020
Rangareddy,August,192.93,24.5,51.0,2024
Nirmal,April,15.83,23.9,73.0,2015
Nagarkurnool,January,9.44,38.1,59.0,2016
Nagarkurnool,June,116.67,16.6,92.0,2017
Hyderabad,November,18.05,34.0,42.0,2023
Mahabubabad,December,5.26,43.1,94.0,2021
Rangareddy,July,193.83,25.6,72.0,2018
Hyderabad,May,29.24,22.7,56.0,2023
Karimnagar,July,191.93,19.6,45.0,2017
Wanaparthy,June,114.01,38.4,21.0,2023
Jogulamba Gadwal,July,193.76,21.5,49.0,2018
Jagtial,October,93.62,22.4,58.0,2024
Mahabubnagar,September,137.15,41.1,32.0,2022
Nagarkurnool,February,7.95,34.9,70.0,2019
Peddapalli,October,94.07,19.7,25.0,2024
Jogulamba Gadwal,April,17.72,20.9,65.0,2021
Mahabubnagar,February,3.93,44.1,24.0,2019
Suryapet,October,90.7,17.1,65.0,2017
Nagarkurnool,June,118.0,23.3,40.0,2023
Mulugu,May,29.17,24.1,80.0,2018
Khammam,May,30.83,24.4,86.0,2021
Khammam,October,94.37,22.0,49.0,2017
Mahabubnagar,January,10.82,30.9,40.0,2015
Kamareddy,December,7.63,26.3,28.0,2016
Mancherial,April,14.67,19.6,75.0,2018
Yadadri Bhuvanagiri,July,192.52,37.2,70.0,2024
Kumurambheem Asifabad,October,94.1,44.1,83.0,2023
Rajanna Sircilla,April,16.37,42.0,85.0,2024
Vikarabad,March,11.34,38.5,43.0,2024
Kumurambheem Asifabad,March,10.24,25.1,88.0,2024
Rangareddy,December,5.91,21.6,57.0,2017
Rajanna Sircilla,June,119.18,30.8,53.0,2020
Yadadri Bhuvanagiri,September,138.2,16.2,95.0,2021
Siddipet,December,8.01,33.3,59.0,2022
Yadadri Bhuvanagiri,May,34.43,27.2,50.0,2019
Mulugu,April,21.32,35.9,77.0,2016
Kamareddy,March,15.3,39.7,27.0,2021
Peddapalli,July,194.76,20.0,84.0,2021
Jogulamba Gadwal,November,22.33,27.6,59.0,2022
Suryapet,October,93.93,34.8,98.0,2016
Rangareddy,August,194.19,24.9,54.0,2017
Hyderabad,April,17.51,41.2,39.0,2020
Mulugu,October,94.14,21.4,63.0,2019
Adilabad,August,191.33,30.0,56.0,2020
Mahabubnagar,February,9.0,16.2,48.0,2020
Karimnagar,July,193.55,22.0,55.0,2019
Hanamkonda,August,194.32,44.1,58.0,2015
Nirmal,December,4.68,39.0,72.0,2018
Rangareddy,November,18.97,35.6,90.0,2019
Hyderabad,September,134.57,17.6,69.0,2016
Rajanna Sircilla,April,18.55,40.5,41.0,2020
Suryapet,October,94.7,36.1,90.0,2019
Kumurambheem Asifabad,June,118.22,37.7,54.0,2025
Nizamabad,February,4.13,25.0,88.0,2020
Nalgonda,August,189.24,19.2,29.0,2022
Mancherial,March,14.52,25.3,52.0,2024
Nalgonda,August,191.4,23.0,24.0,2020
Yadadri Bhuvanagiri,March,12.81,25.1,33.0,2015
Kamareddy,December,7.4,23.0,37.0,2017
Hanamkonda,May,33.42,42.0,66.0,2017
Suryapet,February,6.5,40.2,98.0,2015
Mahabubabad,December,4.59,36.7,24.0,2020
Yadadri Bhuvanagiri,February,9.1,19.9,31.0,2019
Peddapalli,February,5.45,23.9,51.0,2022
Nalgonda,July,189.98,29.2,100.0,2022
Siddipet,November,20.84,32.1,58.0,2016
Sangareddy,June,118.28,32.2,40.0,2016
Kamareddy,July,193.34,36.5,26.0,2025
Hyderabad,March,10.59,35.1,94.0,2015
Jogulamba Gadwal,April,19.66,35.8,89.0,2022
Kamareddy,April,17.09,22.4,24.0,2019
Nizamabad,September,140.25,44.2,25.0,2018
Nirmal,May,33.44,16.1,40.0,2021
Mulugu,March,13.34,18.7,58.0,2021
Rangareddy,April,15.53,35.9,70.0,2021
Nalgonda,May,30.0,24.6,53.0,2021
Yadadri Bhuvanagiri,March,15.26,42.6,95.0,2023
Medak,September,140.98,17.4,81.0,2015
Medak,August,192.07,20.1,98.0,2019
Karimnagar,October,90.37,21.1,84.0,2016
Mahabubnagar,February,5.91,17.7,46.0,2017
Mulugu,January,6.22,31.8,79.0,2020
Rangareddy,June,118.88,15.1,51.0,2015
Mahabubabad,October,91.24,17.2,45.0,2015
Mahabubabad,October,91.76,41.4,77.0,2015
Mahabubnagar,October,89.71,30.4,93.0,2015
Rangareddy,April,18.87,39.8,60.0,2021
Mancherial,September,136.23,35.6,35.0,2024
Mancherial,December,7.01,44.4,64.0,2017
Hanamkonda,November,14.31,32.5,26.0,2020
Mahabubnagar,November,17.01,21.7,59.0,2016
Kumurambheem Asifabad,September,137.33,40.5,70.0,2023
Mahabubnagar,January,11.93,17.1,38.0,2018
Mahabubnagar,May,34.72,25.1,30.0,2023
Kamareddy,September,138.54,20.7,97.0,2017
Vikarabad,October,89.75,39.0,28.0,2020
Nalgonda,June,120.04,24.3,96.0,2020
Suryapet,November,19.83,25.9,46.0,2024
Suryapet,May,29.14,37.7,100.0,2025
Adilabad,February,5.81,26.2,55.0,2017
Peddapalli,March,15.73,16.4,73.0,2020
Khammam,February,9.06,45.0,75.0,2023
Mahabubabad,March,15.0,39.9,73.0,2025
Khammam,March,17.12,32.8,40.0,2019
Jagtial,July,190.6,40.8,58.0,2022
Vikarabad,July,190.36,43.8,80.0,2016
Yadadri Bhuvanagiri,September,136.07,17.7,55.0,2022
Suryapet,March,12.05,43.6,20.0,2023
Medak,July,188.91,16.8,48.0,2019
Karimnagar,July,191.8,44.0,27.0,2021
Nalgonda,March,12.97,20.8,78.0,2023
Jagtial,March,10.09,16.5,36.0,2023
Peddapalli,August,193.48,24.7,59.0,2017
Rangareddy,September,134.7,29.8,40.0,2024
Rangareddy,June,116.44,42.0,30.0,2021
Nizamabad,November,15.18,21.7,87.0,2020
Nalgonda,October,90.05,27.8,82.0,2020
Nagarkurnool,December,9.41,39.6,90.0,2018
Mahabubnagar,January,7.48,29.2,75.0,2025
Peddapalli,June,118.97,35.7,55.0,2023
Jagtial,June,122.62,44.6,39.0,2020
Peddapalli,December,5.81,42.2,97.0,2016
Sangareddy,May,30.95,39.4,73.0,2022
Mulugu,August,189.76,29.6,35.0,2017
Mulugu,August,194.25,28.7,35.0,2017
Rangareddy,January,6.38,20.0,86.0,2015
Nagarkurnool,November,18.32,31.3,70.0,2019
Kumurambheem Asifabad,October,93.95,44.8,87.0,2017
Karimnagar,November,15.52,26.1,48.0,2025
Kamareddy,June,117.53,40.3,44.0,2021
Khammam,December,5.88,32.5,93.0,2021
Nizamabad,January,8.35,20.5,30.0,2025
Kumurambheem Asifabad,March,12.44,37.3,43.0,2015
Medak,June,119.71,36.5,42.0,2018
Jogulamba Gadwal,March,13.68,22.1,99.0,2018
Suryapet,July,190.37,21.1,82.0,2020
Kamareddy,September,137.87,25.9,74.0,2019
Mulugu,July,192.62,27.3,97.0,2024
Nizamabad,November,19.36,44.2,77.0,2022
Yadadri Bhuvanagiri,April,16.57,26.9,77.0,2021
Sangareddy,July,191.37,42.1,81.0,2015
Vikarabad,April,18.61,35.9,47.0,2019
Siddipet,July,191.35,37.6,92.0,2018
Jagtial,September,135.18,32.7,45.0,2021
Rangareddy,October,90.49,15.2,46.0,2025
Siddipet,October,92.91,29.9,80.0,2015
Mancherial,April,19.44,17.8,80.0,2015
Adilabad,October,91.85,24.5,42.0,2017
Adilabad,March,14.74,18.5,90.0,2015
Medak,July,193.93,31.3,70.0,2020
Mancherial,November,17.0,33.2,33.0,2018
Mancherial,December,6.82,30.5,20.0,2019
Sangareddy,October,89.86,44.5,72.0,2015
Mancherial,July,192.98,29.5,78.0,2020
Suryapet,July,191.03,39.8,90.0,2018
Jogulamba Gadwal,July,192.31,35.9,25.0,2025
Adilabad,April,17.05,28.4,83.0,2018
Mancherial,January,8.62,38.7,38.0,2022
Vikarabad,December,4.9,28.1,26.0,2022
Nalgonda,September,138.22,25.1,22.0,2022
Khammam,August,190.92,42.5,54.0,2023
Kamareddy,January,8.16,37.3,77.0,2016
Yadadri Bhuvanagiri,July,190.38,38.2,58.0,2016
Rangareddy,June,121.34,42.9,99.0,2023
Mulugu,March,12.84,41.6,34.0,2018
Rangareddy,November,20.38,29.7,99.0,2024
Kumurambheem Asifabad,April,20.35,17.9,94.0,2022
Khammam,January,10.92,28.7,73.0,2025
Wanaparthy,June,118.78,26.0,42.0,2015
Mulugu,February,7.72,42.7,85.0,2022
Hyderabad,June,117.49,18.9,88.0,2018
Sangareddy,February,8.3,42.8,85.0,2019
Nirmal,December,7.63,28.4,91.0,2023
Hyderabad,October,93.36,24.6,31.0,2017
Kumurambheem Asifabad,July,192.57,39.1,71.0,2019
Rangareddy,October,92.92,21.7,32.0,2019
Nizamabad,June,118.66,32.8,84.0,2019
Mancherial,May,31.69,35.3,26.0,2021
Jagtial,April,16.84,26.6,54.0,2024
Rajanna Sircilla,March,11.81,25.0,59.0,2025
Mulugu,June,116.48,36.5,73.0,2020
Siddipet,March,16.3,38.8,84.0,2022
Karimnagar,March,14.0,30.6,93.0,2024
Medak,May,31.64,24.1,99.0,2015
Sangareddy,May,30.28,20.3,76.0,2020
Nalgonda,August,193.26,35.3,56.0,2016
Siddipet,June,120.5,16.2,100.0,2018
Wanaparthy,June,120.73,27.8,100.0,2017
Nagarkurnool,September,134.32,34.8,73.0,2022
Nalgonda,November,17.94,39.6,48.0,2024
Nirmal,May,30.72,32.1,56.0,2016
Nagarkurnool,April,18.08,32.6,96.0,2017
Peddapalli,August,189.34,32.1,65.0,2023
Adilabad,April,18.29,30.4,40.0,2024
Wanaparthy,December,4.94,17.0,72.0,2015
Mancherial,June,121.29,31.0,39.0,2022
Karimnagar,August,189.84,36.8,90.0,2018
Medak,November,21.04,24.3,43.0,2016
Jogulamba Gadwal,May,30.74,40.9,43.0,2019
Nirmal,July,190.0,19.9,88.0,2020
Nagarkurnool,August,190.41,42.5,22.0,2023
Kamareddy,April,17.86,30.0,58.0,2015
Mahabubnagar,May,33.1,30.3,94.0,2015
Vikarabad,July,188.2,27.7,79.0,2018
Nizamabad,March,10.93,22.1,98.0,2024
Nizamabad,June,115.74,26.4,21.0,2018
Hanamkonda,December,7.31,42.4,98.0,2020
Nizamabad,August,192.92,15.7,25.0,2018
Kumurambheem Asifabad,June,116.43,23.7,32.0,2022
Karimnagar,October,89.9,20.2,24.0,2023
Kamareddy,July,189.69,39.4,82.0,2024
Peddapalli,March,15.16,25.2,98.0,2022
Nizamabad,June,119.6,40.1,30.0,2015
Siddipet,May,25.95,18.8,93.0,2021
Peddapalli,September,135.34,38.8,51.0,2017
Medak,August,190.21,17.8,53.0,2016
Nalgonda,April,18.85,31.9,39.0,2016
Peddapalli,November,20.1,35.2,34.0,2017
Nalgonda,June,114.59,27.7,86.0,2018
Nagarkurnool,June,117.86,30.8,49.0,2025
Jagtial,March,14.05,33.7,71.0,2022
Mahabubabad,May,31.55,22.9,58.0,2018
Mahabubnagar,July,195.26,28.6,66.0,2018
Jogulamba Gadwal,August,190.2,24.8,22.0,2025
Vikarabad,May,33.9,33.4,36.0,2023
Nizamabad,May,29.27,26.3,30.0,2017
Rangareddy,June,118.95,16.8,57.0,2016
Rajanna Sircilla,March,12.02,38.3,73.0,2016
Rangareddy,April,20.53,26.2,21.0,2023
Medak,April,16.75,26.7,49.0,2025
Peddapalli,May,27.47,32.0,81.0,2020
Nalgonda,August,190.81,39.6,55.0,2021
Jogulamba Gadwal,February,8.82,18.9,81.0,2021
Hyderabad,April,16.87,25.7,47.0,2015
Suryapet,May,27.72,32.9,85.0,2025
Rajanna Sircilla,May,29.63,36.7,89.0,2018
Wanaparthy,June,120.5,20.9,90.0,2023
Nizamabad,September,136.72,36.5,79.0,2020
Yadadri Bhuvanagiri,May,33.74,22.0,69.0,2025
Mahabubnagar,January,9.68,22.4,55.0,2017
Adilabad,November,14.91,37.7,62.0,2025
Mulugu,October,90.79,43.9,84.0,2024
Suryapet,May,31.5,44.0,53.0,2024
Kumurambheem Asifabad,June,117.56,25.3,42.0,2019
Suryapet,July,191.69,25.6,57.0,2022
Vikarabad,November,15.55,34.0,49.0,2021
Nagarkurnool,May,32.21,25.8,48.0,2024
Vikarabad,February,8.03,19.9,94.0,2015
Hanamkonda,November,18.37,42.8,34.0,2021
Peddapalli,January,7.91,23.7,35.0,2020
Mulugu,July,191.55,28.3,86.0,2016
Sangareddy,December,4.6,33.7,94.0,2017
Mahabubabad,December,5.2,26.8,62.0,2024
Wanaparthy,August,190.26,39.6,93.0,2025
Nalgonda,November,19.64,21.1,65.0,2019
Rajanna Sircilla,August,188.49,31.3,48.0,2024
Nalgonda,February,6.8,40.3,27.0,2015
Kamareddy,May,30.57,35.0,20.0,2021
Peddapalli,December,3.48,19.2,40.0,2017
Kumurambheem Asifabad,September,138.75,40.2,27.0,2017
Karimnagar,August,187.89,19.0,51.0,2025
Kamareddy,July,188.25,31.2,41.0,2015
Medak,December,5.87,41.4,20.0,2018
Vikarabad,January,12.06,29.2,75.0,2018
Vikarabad,May,33.19,30.0,77.0,2023
Kumurambheem Asifabad,March,15.15,34.5,73.0,2015
Khammam,May,30.07,21.5,92.0,2021
Suryapet,July,193.69,20.6,67.0,2019
Mulugu,July,192.05,20.8,84.0,2025
Jogulamba Gadwal,March,17.08,41.2,52.0,2023
Nirmal,June,115.56,37.1,31.0,2019
Wanaparthy,November,15.65,26.6,90.0,2016
Jagtial,September,135.79,36.8,89.0,2019
Mancherial,February,6.63,18.4,56.0,2017
Nirmal,May,28.26,42.7,94.0,2022
Nizamabad,June,119.55,26.0,48.0,2024
Rangareddy,October,93.44,41.1,24.0,2021
Karimnagar,July,194.33,24.0,71.0,2023
Mahabubabad,September,137.68,28.7,26.0,2020
Rajanna Sircilla,October,87.84,30.5,81.0,2016
Mulugu,June,119.65,38.3,99.0,2016
Mancherial,March,12.77,32.1,81.0,2025
Karimnagar,May,29.17,19.3,70.0,2025
Siddipet,October,93.16,41.0,75.0,2022
Mulugu,November,19.61,21.6,31.0,2025
Jagtial,April,16.03,44.7,72.0,2019
Kamareddy,May,31.77,40.9,20.0,2015
Vikarabad,June,119.12,31.9,97.0,2020
Yadadri Bhuvanagiri,October,92.49,18.4,82.0,2019
Hyderabad,August,188.57,24.1,59.0,2017
Hyderabad,August,187.64,32.4,96.0,2020
Mahabubnagar,January,7.75,30.9,22.0,2022
Medak,October,94.26,31.5,59.0,2019
Rangareddy,March,11.54,21.7,45.0,2024
Nalgonda,December,6.7,16.3,43.0,2023
Jagtial,February,4.58,39.8,34.0,2015
Nagarkurnool,August,191.67,15.6,60.0,2019
Khammam,March,11.52,21.8,39.0,2020
Mancherial,February,7.85,33.6,59.0,2020
Nirmal,June,117.45,44.5,80.0,2015
Yadadri Bhuvanagiri,May,33.01,28.5,20.0,2017
Hyderabad,August,189.44,42.1,26.0,2019
Mahabubnagar,February,3.14,39.8,57.0,2018
Sangareddy,June,119.29,44.4,26.0,2021
Rangareddy,October,94.96,15.6,26.0,2017
Mancherial,December,1.95,16.2,45.0,2016
Mancherial,December,5.29,18.3,48.0,2015
Siddipet,April,17.47,25.9,89.0,2018
Mahabubabad,August,191.97,26.0,23.0,2025
Mulugu,October,91.02,37.6,50.0,2015
Mahabubnagar,June,116.59,42.6,21.0,2021
Karimnagar,November,16.96,44.7,28.0,2022
Kumurambheem Asifabad,August,188.51,43.4,58.0,2015
Nalgonda,February,8.25,25.4,41.0,2022
Rajanna Sircilla,December,1.1,44.8,100.0,2019
Rajanna Sircilla,November,15.84,32.5,61.0,2020
Sangareddy,December,7.68,31.2,59.0,2023
Yadadri Bhuvanagiri,January,11.09,31.8,21.0,2019
Wanaparthy,April,19.43,20.5,85.0,2022
Mahabubabad,May,30.31,29.5,23.0,2020
Hanamkonda,May,33.02,41.7,88.0,2020
Kumurambheem Asifabad,February,11.94,37.8,46.0,2015
Kamareddy,November,18.66,17.9,49.0,2015
Nagarkurnool,June,117.42,37.5,24.0,2020
Jogulamba Gadwal,June,123.82,26.0,38.0,2021
Nalgonda,November,15.73,30.3,71.0,2021
Yadadri Bhuvanagiri,November,15.89,34.9,40.0,2024
Medak,April,17.68,37.1,47.0,2024
Mulugu,June,116.93,36.6,90.0,2016
Vikarabad,August,191.76,24.4,33.0,2015
Mancherial,August,192.24,20.1,26.0,2017
Adilabad,January,12.26,36.2,80.0,2015
